,xmin,ymin,xmax,ymax,numgranules,is_downloaded,geometry
154,-26,-89,-25,-88,0,False,"POLYGON ((-25 -89, -25 -88, -26 -88, -26 -89, -25 -89))"
155,-25,-89,-24,-88,0,False,"POLYGON ((-24 -89, -24 -88, -25 -88, -25 -89, -24 -89))"
156,-24,-89,-23,-88,0,False,"POLYGON ((-23 -89, -23 -88, -24 -88, -24 -89, -23 -89))"
157,-23,-89,-22,-88,0,False,"POLYGON ((-22 -89, -22 -88, -23 -88, -23 -89, -22 -89))"
158,-22,-89,-21,-88,0,False,"POLYGON ((-21 -89, -21 -88, -22 -88, -22 -89, -21 -89))"
159,-21,-89,-20,-88,0,False,"POLYGON ((-20 -89, -20 -88, -21 -88, -21 -89, -20 -89))"
160,-20,-89,-19,-88,0,False,"POLYGON ((-19 -89, -19 -88, -20 -88, -20 -89, -19 -89))"
161,-19,-89,-18,-88,0,False,"POLYGON ((-18 -89, -18 -88, -19 -88, -19 -89, -18 -89))"
162,-18,-89,-17,-88,0,False,"POLYGON ((-17 -89, -17 -88, -18 -88, -18 -89, -17 -89))"
163,-17,-89,-16,-88,0,False,"POLYGON ((-16 -89, -16 -88, -17 -88, -17 -89, -16 -89))"
164,-16,-89,-15,-88,0,False,"POLYGON ((-15 -89, -15 -88, -16 -88, -16 -89, -15 -89))"
165,-15,-89,-14,-88,0,False,"POLYGON ((-14 -89, -14 -88, -15 -88, -15 -89, -14 -89))"
166,-14,-89,-13,-88,0,False,"POLYGON ((-13 -89, -13 -88, -14 -88, -14 -89, -13 -89))"
167,-13,-89,-12,-88,0,False,"POLYGON ((-12 -89, -12 -88, -13 -88, -13 -89, -12 -89))"
168,-12,-89,-11,-88,0,False,"POLYGON ((-11 -89, -11 -88, -12 -88, -12 -89, -11 -89))"
169,-11,-89,-10,-88,0,False,"POLYGON ((-10 -89, -10 -88, -11 -88, -11 -89, -10 -89))"
170,-10,-89,-9,-88,0,False,"POLYGON ((-9 -89, -9 -88, -10 -88, -10 -89, -9 -89))"
171,-9,-89,-8,-88,0,False,"POLYGON ((-8 -89, -8 -88, -9 -88, -9 -89, -8 -89))"
172,-8,-89,-7,-88,0,False,"POLYGON ((-7 -89, -7 -88, -8 -88, -8 -89, -7 -89))"
173,-7,-89,-6,-88,0,False,"POLYGON ((-6 -89, -6 -88, -7 -88, -7 -89, -6 -89))"
174,-6,-89,-5,-88,0,False,"POLYGON ((-5 -89, -5 -88, -6 -88, -6 -89, -5 -89))"
175,-5,-89,-4,-88,0,False,"POLYGON ((-4 -89, -4 -88, -5 -88, -5 -89, -4 -89))"
176,-4,-89,-3,-88,0,False,"POLYGON ((-3 -89, -3 -88, -4 -88, -4 -89, -3 -89))"
177,-3,-89,-2,-88,0,False,"POLYGON ((-2 -89, -2 -88, -3 -88, -3 -89, -2 -89))"
178,-2,-89,-1,-88,0,False,"POLYGON ((-1 -89, -1 -88, -2 -88, -2 -89, -1 -89))"
179,-1,-89,0,-88,0,False,"POLYGON ((0 -89, 0 -88, -1 -88, -1 -89, 0 -89))"
180,0,-89,1,-88,0,False,"POLYGON ((1 -89, 1 -88, 0 -88, 0 -89, 1 -89))"
181,1,-89,2,-88,0,False,"POLYGON ((2 -89, 2 -88, 1 -88, 1 -89, 2 -89))"
182,2,-89,3,-88,0,False,"POLYGON ((3 -89, 3 -88, 2 -88, 2 -89, 3 -89))"
183,3,-89,4,-88,0,False,"POLYGON ((4 -89, 4 -88, 3 -88, 3 -89, 4 -89))"
184,4,-89,5,-88,0,False,"POLYGON ((5 -89, 5 -88, 4 -88, 4 -89, 5 -89))"
185,5,-89,6,-88,0,False,"POLYGON ((6 -89, 6 -88, 5 -88, 5 -89, 6 -89))"
186,6,-89,7,-88,0,False,"POLYGON ((7 -89, 7 -88, 6 -88, 6 -89, 7 -89))"
187,7,-89,8,-88,0,False,"POLYGON ((8 -89, 8 -88, 7 -88, 7 -89, 8 -89))"
188,8,-89,9,-88,0,False,"POLYGON ((9 -89, 9 -88, 8 -88, 8 -89, 9 -89))"
189,9,-89,10,-88,0,False,"POLYGON ((10 -89, 10 -88, 9 -88, 9 -89, 10 -89))"
190,10,-89,11,-88,0,False,"POLYGON ((11 -89, 11 -88, 10 -88, 10 -89, 11 -89))"
191,11,-89,12,-88,0,False,"POLYGON ((12 -89, 12 -88, 11 -88, 11 -89, 12 -89))"
192,12,-89,13,-88,0,False,"POLYGON ((13 -89, 13 -88, 12 -88, 12 -89, 13 -89))"
193,13,-89,14,-88,0,False,"POLYGON ((14 -89, 14 -88, 13 -88, 13 -89, 14 -89))"
194,14,-89,15,-88,0,False,"POLYGON ((15 -89, 15 -88, 14 -88, 14 -89, 15 -89))"
195,15,-89,16,-88,0,False,"POLYGON ((16 -89, 16 -88, 15 -88, 15 -89, 16 -89))"
196,16,-89,17,-88,0,False,"POLYGON ((17 -89, 17 -88, 16 -88, 16 -89, 17 -89))"
197,17,-89,18,-88,0,False,"POLYGON ((18 -89, 18 -88, 17 -88, 17 -89, 18 -89))"
198,18,-89,19,-88,0,False,"POLYGON ((19 -89, 19 -88, 18 -88, 18 -89, 19 -89))"
199,19,-89,20,-88,0,False,"POLYGON ((20 -89, 20 -88, 19 -88, 19 -89, 20 -89))"
200,20,-89,21,-88,0,False,"POLYGON ((21 -89, 21 -88, 20 -88, 20 -89, 21 -89))"
201,21,-89,22,-88,0,False,"POLYGON ((22 -89, 22 -88, 21 -88, 21 -89, 22 -89))"
202,22,-89,23,-88,0,False,"POLYGON ((23 -89, 23 -88, 22 -88, 22 -89, 23 -89))"
203,23,-89,24,-88,0,False,"POLYGON ((24 -89, 24 -88, 23 -88, 23 -89, 24 -89))"
